,ZoneCode,ZoneName,RegeionCode,RegeionName,ProductCategoryName,BusinessNature,Budget,Sales
0,Z37,Brahmanbaria,R151,Brahmanbaria - B,ALCET,G,"170,800","175,598"
1,Z37,Brahmanbaria,R151,Brahmanbaria - B,GEMICIN,G,0,0
2,Z37,Brahmanbaria,R151,Brahmanbaria - B,RENOVIT,G,"25,007","20,240"
3,Z37,Brahmanbaria,R151,Brahmanbaria - B,ROXETIL,G,"1,567",0
4,Z37,Brahmanbaria,R151,Brahmanbaria - B,STENER,G,"8,433","7,309"
5,Z37,Brahmanbaria,R151,Brahmanbaria - B,VECTRA,G,"4,760","3,786"
6,Z37,Brahmanbaria,R153,MADHOBPUR,ATHENA,G,0,172
7,Z37,Brahmanbaria,R153,MADHOBPUR,CLACIDO,G,"67,568","60,710"
8,Z37,Brahmanbaria,R153,MADHOBPUR,EMISTAT,G,"173,146","146,182"
9,Z37,Brahmanbaria,R153,MADHOBPUR,FUROTIL PLUS,G,"163,916","137,824"
10,Z37,Brahmanbaria,R153,MADHOBPUR,LEXOPIL,G,"1,124","1,499"
11,Z37,Brahmanbaria,R153,MADHOBPUR,MAXNOR,G,0,0
12,Z37,Brahmanbaria,R153,MADHOBPUR,REEF-D,G,"47,976","51,649"
13,Z37,Brahmanbaria,R153,MADHOBPUR,SLIMFAST,G,"17,271","19,430"
14,Z37,Brahmanbaria,R153,MADHOBPUR,SYNDOL PLUS,G,0,180
15,Z37,Brahmanbaria,R153,MADHOBPUR,TREXAM,G,"4,498","8,996"
16,Z37,Brahmanbaria,R155,Brahmanbaria - C,CEVION,G,0,121
17,Z37,Brahmanbaria,R155,Brahmanbaria - C,CLEOCIN,G,"1,343",336
18,Z37,Brahmanbaria,R155,Brahmanbaria - C,CLONATRIL,G,"34,723",0
19,Z37,Brahmanbaria,R155,Brahmanbaria - C,DENTRO,G,900,"1,799"
20,Z37,Brahmanbaria,R155,Brahmanbaria - C,DENVAR,G,"225,929","198,024"
21,Z37,Brahmanbaria,R155,Brahmanbaria - C,FUROTIL PLUS,G,"153,724","150,989"
22,Z37,Brahmanbaria,R155,Brahmanbaria - C,NEOPENEM,G,"19,340","70,840"
23,Z37,Brahmanbaria,R155,Brahmanbaria - C,NFT-100,G,"5,397","9,895"
24,Z37,Brahmanbaria,R155,Brahmanbaria - C,RESQUIN,G,"1,079",0
25,Z37,Brahmanbaria,R155,Brahmanbaria - C,SANTE,G,"6,297","6,634"
26,Z37,Brahmanbaria,R155,Brahmanbaria - C,SKILOX,G,"24,604","28,955"
27,Z37,Brahmanbaria,R155,Brahmanbaria - C,SOLIVO,G,"37,331","34,205"
28,Z37,Brahmanbaria,R155,Brahmanbaria - C,VIFAS,G,"65,579","17,226"
29,Z37,Brahmanbaria,R155,Brahmanbaria - C,ZILAS,G,"13,156","10,795"
30,Z37,Brahmanbaria,R307,Brahmanbaria - A,AERON,G,"68,966","76,537"
31,Z37,Brahmanbaria,R307,Brahmanbaria - A,ANGENTA,G,"97,076","98,200"
32,Z37,Brahmanbaria,R307,Brahmanbaria - A,D-VINE,G,"6,379","8,527"
33,Z37,Brahmanbaria,R307,Brahmanbaria - A,IBIDA,G,"5,622","4,123"
34,Z37,Brahmanbaria,R307,Brahmanbaria - A,MENSIL N,G,"18,890","17,631"
35,Z37,Brahmanbaria,R307,Brahmanbaria - A,NOVEA,G,"2,024","2,564"
36,Z37,Brahmanbaria,R307,Brahmanbaria - A,OPAL,G,"23,988","20,240"
37,Z37,Brahmanbaria,R307,Brahmanbaria - A,ROZITH,G,"70,359","68,988"
38,Z37,Brahmanbaria,R307,Brahmanbaria - A,SYNDOL,G,0,191
39,Z37,Brahmanbaria,R307,Brahmanbaria - A,VASPINE,G,0,"3,838"
40,Z37,Brahmanbaria,R307,Brahmanbaria - A,YULIPRIS,G,0,948
41,Z37,Brahmanbaria,R307,Brahmanbaria - A,ZEROPAIN,G,"18,441","18,891"
42,Z37,Brahmanbaria,R321,NABINAGAR,ABICON,G,"13,493","8,658"
43,Z37,Brahmanbaria,R321,NABINAGAR,ANGENTA,G,"145,801","142,053"
44,Z37,Brahmanbaria,R321,NABINAGAR,BROMOXOL,G,"1,428",667
45,Z37,Brahmanbaria,R321,NABINAGAR,CAFEDON,G,"3,748",0
46,Z37,Brahmanbaria,R321,NABINAGAR,IBIDA,G,0,375
47,Z37,Brahmanbaria,R321,NABINAGAR,MENSIL N,G,"21,724","17,316"
48,Z37,Brahmanbaria,R321,NABINAGAR,OPAL,G,"47,226","42,728"
49,Z37,Brahmanbaria,R321,NABINAGAR,VASPINE,G,0,"12,954"
50,Z37,Brahmanbaria,R321,NABINAGAR,VISET,G,"111,357","94,123"
51,Z37,Brahmanbaria,R321,NABINAGAR,ZEROPAIN,G,"32,714","19,745"
52,Z37,Brahmanbaria,R321,NABINAGAR,ZYDUS,G,"9,655","5,457"
53,Z37,Brahmanbaria,R324,KOSBA,CEVION,G,0,0
54,Z37,Brahmanbaria,R324,KOSBA,DANILO,G,"15,607","15,562"
55,Z37,Brahmanbaria,R324,KOSBA,DENTRO,G,"2,474",900
56,Z37,Brahmanbaria,R324,KOSBA,DENVAR,G,"562,503","627,615"
57,Z37,Brahmanbaria,R324,KOSBA,FOSFOGEN,G,"2,886","6,822"
58,Z37,Brahmanbaria,R324,KOSBA,FUROTIL PLUS,G,"194,330","144,032"
59,Z37,Brahmanbaria,R324,KOSBA,MAXNOR,G,0,0
60,Z37,Brahmanbaria,R324,KOSBA,NEOPENEM,G,"8,433","14,730"
61,Z37,Brahmanbaria,R324,KOSBA,NFT-100,G,"4,048","4,348"
62,Z37,Brahmanbaria,R324,KOSBA,OXOFYLINE,G,"4,498","4,498"
63,Z37,Brahmanbaria,R324,KOSBA,RESQUIN,G,0,"1,349"
64,Z37,Brahmanbaria,R324,KOSBA,ROZITH,G,"134,100","118,381"
65,Z37,Brahmanbaria,R324,KOSBA,SANTE,G,"18,328","11,244"
66,Z37,Brahmanbaria,R324,KOSBA,SKILOX,G,"20,540","28,916"
67,Z37,Brahmanbaria,R324,KOSBA,VIFAS,G,"33,103","16,278"
68,Z37,Brahmanbaria,R324,KOSBA,ZILAS,G,"14,843","13,156"
69,Z37,Brahmanbaria,R324,KOSBA,ZOPIME,G,0,0
70,Z37,Brahmanbaria,R370,SARAIL,RESQUIN,G,810,0
71,Z37,Brahmanbaria,R370,SARAIL,ROSELA,G,"2,114","2,969"
72,Z37,Brahmanbaria,R370,SARAIL,ROZITH,G,"125,067","71,402"
73,Z37,Brahmanbaria,R370,SARAIL,VIFAS,G,"28,066","15,589"
74,Z37,Brahmanbaria,R370,SARAIL,ZILAS,G,"9,783","8,433"
75,Z37,Brahmanbaria,R541,AKHAURA,ACTILAC,G,"1,780","2,343"
76,Z37,Brahmanbaria,R541,AKHAURA,ALINIX,G,"9,101","11,695"
77,Z37,Brahmanbaria,R541,AKHAURA,BONDROVA,G,"17,631","16,162"
78,Z37,Brahmanbaria,R541,AKHAURA,FERISEN,G,"42,736","33,156"
